Fecha de la medida;Hora de la medida;Medida de la magnitud activa entrante;Método de obtención
03/12/2022;7;39;R
03/12/2022;8;39;R
03/12/2022;9;39;R
03/12/2022;10;41;R
03/12/2022;11;42;R
03/12/2022;12;40;R
03/12/2022;13;42;R
03/12/2022;14;43;R
03/12/2022;15;42;R
03/12/2022;16;42;R
03/12/2022;17;42;R
03/12/2022;18;41;R
03/12/2022;19;41;R
03/12/2022;20;39;R
03/12/2022;21;40;R
03/12/2022;22;41;R
03/12/2022;23;41;R
03/12/2022;24;42;R
04/12/2022;1;42;R
04/12/2022;2;41;R
04/12/2022;3;41;R
04/12/2022;4;41;R
04/12/2022;5;41;R
04/12/2022;6;41;R
04/12/2022;7;40;R
04/12/2022;8;41;R
04/12/2022;9;39;R
04/12/2022;10;39;R
04/12/2022;11;40;R
04/12/2022;12;40;R
04/12/2022;13;42;R
04/12/2022;14;42;R
04/12/2022;15;42;R
04/12/2022;16;42;R
04/12/2022;17;42;R
04/12/2022;18;42;R
04/12/2022;19;41;R
04/12/2022;20;40;R
04/12/2022;21;39;R
04/12/2022;22;39;R
04/12/2022;23;41;R
04/12/2022;24;42;R
05/12/2022;1;45;R
05/12/2022;2;41;R
05/12/2022;3;42;R
05/12/2022;4;40;R
05/12/2022;5;41;R
05/12/2022;6;41;R
05/12/2022;7;41;R
05/12/2022;8;41;R
05/12/2022;9;40;R
05/12/2022;10;39;R
05/12/2022;11;39;R
05/12/2022;12;39;R
05/12/2022;13;41;R
05/12/2022;14;41;R
05/12/2022;15;44;R
05/12/2022;16;89;R
05/12/2022;17;60;R
05/12/2022;18;46;R
05/12/2022;19;44;R
05/12/2022;20;44;R
05/12/2022;21;42;R
05/12/2022;22;43;R
05/12/2022;23;41;R
05/12/2022;24;41;R
06/12/2022;1;40;R
06/12/2022;2;39;R
06/12/2022;3;41;R
06/12/2022;4;41;R
06/12/2022;5;42;R
06/12/2022;6;41;R
06/12/2022;7;42;R
06/12/2022;8;41;R
06/12/2022;9;40;R
06/12/2022;10;41;R
06/12/2022;11;41;R
06/12/2022;12;41;R
06/12/2022;13;40;R
06/12/2022;14;39;R
06/12/2022;15;40;R
06/12/2022;16;41;R
06/12/2022;17;42;R
06/12/2022;18;42;R
06/12/2022;19;41;R
06/12/2022;20;49;R
06/12/2022;21;317;R
06/12/2022;22;268;R
06/12/2022;23;84;R
06/12/2022;24;48;R
07/12/2022;1;46;R
07/12/2022;2;46;R
07/12/2022;3;45;R
07/12/2022;4;47;R
07/12/2022;5;44;R
07/12/2022;6;42;R
07/12/2022;7;153;R
07/12/2022;8;159;R
07/12/2022;9;253;R
07/12/2022;10;81;R
07/12/2022;11;650;R
07/12/2022;12;240;R
07/12/2022;13;170;R
07/12/2022;14;49;R
07/12/2022;15;307;R
07/12/2022;16;170;R
07/12/2022;17;113;R
07/12/2022;18;152;R
07/12/2022;19;192;R
07/12/2022;20;49;R
07/12/2022;21;62;R
07/12/2022;22;48;R
